id;name;type;url;consumer_key;client_id;client_secret
1;Indiana Intelligent Soft Bacon;JIRA;https://andreanne.net;Chips Grocery groupware;override Bermuda;Sausages bypass
2;transmit;JIRA;https://jalen.net;navigate tan;1080p Gorgeous Granite Tuna;extend e-services 24/7
3;Jewelery;JIRA;https://emmanuel.org;Valleys Grocery New Mexico;Surinam Dollar Handmade Frozen Bacon;Forward cross-platform Guarani
4;Regional;JIRA;http://anabelle.com;knowledge base Administrator;e-commerce e-tailers;Borders Internal
5;JSON Intelligent;JIRA;https://caterina.biz;rich invoice;back up;Dynamic
6;Cambridgeshire utilize Haiti;JIRA;https://rhett.com;Plain Credit Card Account COM;New Caledonia cyan Venezuela;magnetic invoice Music
7;Tools;JIRA;http://aditya.com;infomediaries productivity;sticky Tuna;Buckinghamshire Enterprise-wide Automotive
8;Consultant;JIRA;https://luigi.name;Home protocol Handcrafted Metal Chicken;revolutionary;Music
9;COM deposit Steel;JIRA;https://elroy.net;Intelligent Rubber Shoes Swiss Franc;Nepalese Rupee experiences Legacy;solutions mobile
10;quantifying indigo;JIRA;http://sheila.org;New Israeli Sheqel Administrator functionalities;Awesome Granite Bacon Borders seamless;Pakistan Progressive
